station_name,wigos_station_identifier,traditional_station_identifier,facility_type,latitude,longitude,elevation,territory_name,wmo_region
ANGUILLA,0-20000-0-78846,78846,Land (fixed),18.2,-63.05,29,Anguilla,IV
Coolidge Field,0-20008-0-CLF,CLF,Land (fixed),17.09000015,-61.81000137,10,Antigua and Barbuda,IV
VC BIRD INT'L AIRPORT ANTIGUA,0-20000-0-78862,78862,Land (fixed),17.11666667,-61.78333333,8,Antigua and Barbuda,IV
ABRAHAM'S BAY,0-20000-0-78109,78109,Land (fixed),22.36666667,-72.96666667,1,Bahamas,IV
ABRAHAM'S BAY,0-20000-0-78108,78108,Land (fixed),22.38333333,-73.01666667,0,Bahamas,IV
ALICE TOWN,0-20000-0-78070,78070,Land (fixed),25.73333333,-79.3,2,Bahamas,IV
CHURCH GROVE,0-20000-0-78104,78104,Land (fixed),22.75,-74.23333333,12,Bahamas,IV
CLARENCE TOWN,0-20000-0-78095,78095,Land (fixed),23.1,-74.96666667,7,Bahamas,IV
COCKBURN TOWN,0-20000-0-78088,78088,Land (fixed),24.05,-74.53333333,3,Bahamas,IV
COCKBURN TOWN,0-20000-0-78089,78089,Land (fixed),24.06666667,-74.5,0,Bahamas,IV
COLONEL HILL,0-20000-0-78103,78103,Land (fixed),22.75,-74.23333333,12,Bahamas,IV
CONGO TOWN,0-20000-0-78084,78084,Land (fixed),24.15,-77.56666667,0,Bahamas,IV
DEADMAN'S CAY,0-20000-0-78094,78094,Land (fixed),23.1,-74.96666667,7,Bahamas,IV
DUNCAN TOWN,0-20000-0-78101,78101,Land (fixed),22.2,-75.73333333,11,Bahamas,IV
DUNMORE TOWN,0-20000-0-78077,78077,Land (fixed),25.5,-76.63333333,14,Bahamas,IV
FREEPORT,0-20000-0-78062,78062,Land (fixed),26.55,-78.7,2,Bahamas,IV
GEORGE TOWN,0-20000-0-78092,78092,Land (fixed),23.5,-75.76666667,2,Bahamas,IV
GREEN TURTLE CAY,0-20000-0-78066,78066,Land (fixed),26.75,-77.33333333,13,Bahamas,IV
KEMP'S BAY,0-20000-0-78086,78086,Land (fixed),24.08333333,-77.55,2,Bahamas,IV
MARSH HARBOUR,0-20000-0-78065,78065,Land (fixed),26.51666667,-77.06666667,0,Bahamas,IV
MATTHEW TOWN,0-20000-0-78120,78120,Land (fixed),20.95,-73.65,0,Bahamas,IV
MATTHEW TOWN,0-20000-0-78121,78121,Land (fixed),20.95,-73.68333333,2,Bahamas,IV
MOSS TOWN,0-20000-0-78091,78091,Land (fixed),23.55,-75.86666667,0,Bahamas,IV
NASSAU AIRPORT NEW PROVIDENCE,0-20000-0-78073,78073,Land (fixed),25.05,-77.46666667,0,Bahamas,IV
NORTH ELEUTHERA,0-20000-0-78075,78075,Land (fixed),25.48333333,-76.66666667,0,Bahamas,IV
ROCK SOUND,0-20000-0-78080,78080,Land (fixed),24.75,-76.15,0,Bahamas,IV
SOUTH BIMINI,0-20000-0-78069,78069,Land (fixed),25.7,-79.25,0,Bahamas,IV
THE BIGHT,0-20000-0-78087,78087,Land (fixed),24.28333333,-75.41666667,3,Bahamas,IV
WEST END,0-20000-0-78061,78061,Land (fixed),26.7,-78.96666667,2,Bahamas,IV
APPLEWHAITES 3D PAWS AWS,0-52-130-0038,0038,Land (fixed),13.1578,-59.5767,32.6,Barbados,IV
ASHTON HALL  3D PAW,0-52-130-0029,0029,Land (fixed),13.2574,-59.6279,65,Barbados,IV
BAWDENS 3D PAW AWS,0-52-130-0031,0031,Land (fixed),13.2413,-59.5907,104,Barbados,IV
BELLE 3D PAW AWS,0-52-130-0036,0036,Land (fixed),13.1149,-59.5924,44,Barbados,IV
BELLE B.W.A NESA AWS,0-52-130-0003,0003,Land (fixed),13.1153,-59.5927,33,Barbados,IV
BMS CAD 3D PAWS,0-52-130-0020,0020,Land (fixed),13.0852,-59.4872,72.3,Barbados,IV
BMS Sutron AWS Charnocks Christ Church,0-52-130-0001,0001,Land (fixed),13.0853,-59.4872,56,Barbados,IV
BOWMANSTON 3D PAW,0-52-130-0025,0025,Land (fixed),13.1702,-59.5063,210,Barbados,IV
CAMBRIDGE 3D PAW AWS,0-52-130-0030,0030,Land (fixed),13.2276,-59.547,144.3,Barbados,IV
CARIBBEAN METEOROLOGICAL INSTITUTE,0-20000-0-78955,78955,Land (fixed),13.15,-59.61666667,0,Barbados,IV
CONSTANT 3D PAW AWS,0-52-130-0037,0037,Land (fixed),13.1213,-59.5578,64.3,Barbados,IV
G.A.I.A RUNWAY CASELLA AWS,0-52-130-0002,0002,Land (fixed),13.0816,-59.4764,52,Barbados,IV
GOLDEN RIDGE 3D PAW AWS,0-52-130-0023,0023,Land (fixed),13.1644,-59.5413,297.3,Barbados,IV
GRANTLEY ADAMS,0-52-130-78954,78954,Air (fixed),13.085847,-59.487013,56.6,Barbados,IV
GREENLAND 3D PAW AWS,0-52-130-0032,0032,Land (fixed),13.2576,-59.5772,31.3,Barbados,IV
HALF ACRE 3D PAW,0-52-130-0027,0027,Land (fixed),13.3016,-59.6158,83.6,Barbados,IV
HOLDERS HILL 3D PAW AWS,0-52-130-0034,0034,Land (fixed),13.1625,-59.6335,32.6,Barbados,IV
LAKES FOLLY 3D PAW AWS,0-52-130-0021,0021,Land (fixed),13.1038,-59.6211,21,Barbados,IV
LOWER CARLTON 3D PAW,0-52-130-0026,0026,Land (fixed),13.2216,-59.6338,61,Barbados,IV
MIN AGR GRAEME HALL SUTRON AWS,0-52-130-0055,0055,Land (fixed),13.0761,-59.5761,65,Barbados,IV
MIN OF AGR GRAEME HALL 3D PAW AWS,0-52-130-0039,0039,Land (fixed),13.0761,-59.4872,37.3,Barbados,IV
MOUNT PLEASANT 3D PAW AWS,0-52-130-0041,0041,Land (fixed),13.1588,-59.4748,193.6,Barbados,IV
Ministry of Agriculture HOMES AWS,0-52-13000-5,5,Land (fixed),13.1105,-59.4872,47,Barbados,IV
RAWINSONDE STATION SUTRON AWS,0-52-130-0004,0004,Land (fixed),13.0716,-59.4922,46,Barbados,IV
ROCK HALL 3D PAW AWS,0-52-130-0033,0033,Land (fixed),13.2365,-59.6004,290,Barbados,IV
Ragged Point,0-20008-0-RPB,RPB,Land (fixed),13.17000008,-59.43000031,45,Barbados,IV
STURGES 3D PAW AWS,0-52-130-0035,0035,Land (fixed),13.1888,-59.5753,30,Barbados,IV
THREE HOUSES 3D PAW AWS,0-52-130-0040,0040,Land (fixed),13.1442,-59.4436,36.3,Barbados,IV
BELIZE/LANDIVAR,0-20000-0-78584,78584,Land (fixed),17.51666667,-88.2,0,Belize,IV
BELIZE/PHILLIP GOLDSTON INTL. AIRPORT,0-20000-0-78583,78583,Land (fixed),17.53333333,-88.3,5,Belize,IV
HALF MOON CAYE,0-20000-0-78588,78588,Land (fixed),17.18333333,-87.5,0,Belize,IV
HUNTING CAYE,0-20000-0-78596,78596,Land (fixed),16.1,-88.25,0,Belize,IV
BEEF ISLAND,0-20000-0-78550,78550,Land (fixed),18.45,-64.53333333,4,British Virgin Islands,IV
14G,0-124-15007-14G,14G,Land (fixed),48.49417,-123.615,493,Canada,IV
31N,0-124-15007-31N,31N,Land (fixed),48.52944,-123.639,606,Canada,IV
4RW6,0-124-15007-4RW6,4RW6,Land (fixed),48.58583,-123.751,675,Canada,IV
ABBOTSFORD A,0-20000-0-71108,71108,Land (fixed),49.02527778,-122.36,59.1,Canada,IV
ABEE AGDM,0-20000-0-71285,71285,Land (fixed),54.28333333,-112.9666667,664,Canada,IV
ACADIA VALLEY,0-20000-0-71048,71048,Land (fixed),51.06611111,-110.3169444,735,Canada,IV
AGASSIZ RCS,0-20000-0-71113,71113,Land (fixed),49.242793,-121.759712,17.66,Canada,IV
ALBERT HALL AGCM,0-20000-0-71005,71005,Land (fixed),53.11333333,-111.1811111,658,Canada,IV
ALBH WCDA-PGC,0-124-10010-927000,927000,Land (fixed),48.389777,-123.487453,50.24,Canada,IV
ALDERSVILLE,0-124-0-73081,73081,Land (fixed),44.82667,-64.5089,237,Canada,IV
ALERT CLIMATE,0-20000-0-71355,71355,Land (fixed),82.493841,-62.352153,60.2,Canada,IV
ALERT UA,0-20001-0-71082,71082,Land (fixed),82.5,-62.33333333,65.4,Canada,IV
ALGO CACS-GSD,0-124-10010-883160,883160,Land (fixed),45.955791,-78.071363,237.03,Canada,IV
ALGONQUIN PARK EAST GATE,0-20000-0-71581,71581,Land (fixed),45.53333333,-78.25,398.92,Canada,IV
ALLIANCE AGCM,0-20000-0-71006,71006,Land (fixed),52.31527778,-111.7786111,737,Canada,IV
ALRT CACS-CHS,0-124-10010-M029001,M029001,Land (fixed),82.494281,-62.340446,59.27,Canada,IV
AMQUI,0-20000-0-71386,71386,Land (fixed),48.472108,-67.434564,166.02,Canada,IV
ANDREW AGDM,0-20000-0-71286,71286,Land (fixed),53.91694444,-112.2791667,625,Canada,IV
ARCTIC BAY CS,0-20000-0-71592,71592,Land (fixed),72.98333333,-85,0.28,Canada,IV
ARGENTIA,0-20000-0-71807,71807,Land (fixed),47.2939,-53.9933,19,Canada,IV
ARMSTRONG (AUT),0-20000-0-71841,71841,Land (fixed),50.28333333,-88.9,322.5,Canada,IV
ARVIAT A,0-20000-0-71174,71174,Land (fixed),61.09388889,-94.07166667,10.4,Canada,IV
ARVIAT CLIMATE,0-20000-0-71322,71322,Land (fixed),61.08333333,-94.06666667,8.46,Canada,IV
ASHCROFT,0-20000-0-71681,71681,Land (fixed),50.7,-121.2666667,327,Canada,IV
ASSINIBOIA AIRPORT,0-20000-0-71487,71487,Land (fixed),49.71666667,-105.9333333,722.47,Canada,IV
ATHABASCA AGCM,0-20000-0-71271,71271,Land (fixed),54.63472222,-113.3819444,635,Canada,IV
ATIKOKAN (AUT),0-20000-0-71747,71747,Land (fixed),48.75,-91.61666667,387.01,Canada,IV
ATLEE AGCM,0-20000-0-71986,71986,Land (fixed),50.81,-111.0055556,795,Canada,IV
ATLIN-WCDA-PGC,0-124-10010-987009,987009,Land (fixed),59.589479,-133.714447,788.09,Canada,IV
ATMORE AGDM,0-20000-0-71287,71287,Land (fixed),54.78166667,-112.825,574,Canada,IV
AULAVIK NATIONAL PARK,0-20000-0-71974,71974,Land (fixed),74.13333333,-119.9833333,32,Canada,IV
AZURE,0-20000-0-71981,71981,Land (fixed),50.51194444,-114.0130556,1143,Canada,IV
Abbotsford,0-20008-0-ABT,ABT,Land (fixed),49.0113,-122.3355,60,Canada,IV
Aiken Lake,0-124-15006-4A30P,4A30P,Land (fixed),56.43666667,-125.7416667,970,Canada,IV
Alert,0-20008-0-ALT,ALT,Land (fixed),82.49914551,-62.34152603,185,Canada,IV
Alert Magnetic Observatory,0-124-10001-ALE,ALE,Land (fixed),82.496,-62.354,60,Canada,IV
Algoma,0-20008-0-ALG,ALG,Land (fixed),47.03333282,-84.3666687,411,Canada,IV
Alkali Lake AGRI,0-124-15005-AGAL001,AGAL001,Land (fixed),51.79028,-121.251,677,Canada,IV
Asquith,0-20008-0-ASQ,ASQ,Land (fixed),52.13999939,-107.0599976,519,Canada,IV
Attawapiskat,0-124-42001-71653,71653,Land (fixed),52.92759,-82.432,9.1,Canada,IV
Azure River,0-124-15003-1E08P,1E08P,Land (fixed),52.59567,-119.724,1620,Canada,IV
BACCARO PT,0-20000-0-71920,71920,Land (fixed),43.45,-65.46666667,2.96,Canada,IV
BACHELORS ISLAND MARINE,0-20000-0-71143,71143,Land (fixed),51.75,-99.9,255.9,Canada,IV
BADGER (AUT),0-20000-0-71400,71400,Land (fixed),48.96666667,-56.06666667,102.7,Canada,IV
BAIE RACS-GSD,0-124-10010-M012001,M012001,Land (fixed),49.186816,-68.263326,53.08,Canada,IV
BAIE-COMEAU,0-124-0-71890,71890,Land (fixed),49.13507,-68.2025,20.23,Canada,IV
BAIE-COMEAU,0-20000-0-71691,71691,Land (fixed),49.1325,-68.20444444,21.6,Canada,IV
BAIE-COMEAU,0-20000-0-71829,71829,Land (fixed),49.259088,-68.145632,130.53,Canada,IV
BAKE CACS-GSD,0-124-10010-M009005,M009005,Land (fixed),64.317811,-96.002326,46.48,Canada,IV
BAKER LAKE A,0-20000-0-71926,71926,Land (fixed),64.29888889,-96.07777778,18.6,Canada,IV
BAKER LAKE CLIMATE,0-20000-0-71356,71356,Land (fixed),64.31666667,-96,48.88,Canada,IV
BAKER LAKE UA,0-20001-0-71926,71926,Land (fixed),64.31666667,-96,50.8,Canada,IV
BALLENAS ISLAND,0-20000-0-71769,71769,Land (fixed),49.350544,-124.160498,14.67,Canada,IV
BAMF WCDA-PGC,0-124-10010-M027005,M027005,Land (fixed),48.835325,-125.135087,29.01,Canada,IV
BANCROFT AUTO,0-20000-0-71294,71294,Land (fixed),45.06666667,-77.86666667,330.29,Canada,IV
BANFF CS,0-20000-0-71122,71122,Land (fixed),51.18333333,-115.55,1396.9,Canada,IV
BANQUEREAU BANK,0-124-600-4400139,4400139,Sea (fixed),44.24,-57.10333,0,Canada,IV
BARNWELL AGDM,0-20000-0-71346,71346,Land (fixed),49.8,-112.3,824.24,Canada,IV
BARONS AGCM,0-20000-0-71007,71007,Land (fixed),50.02583333,-113.2244444,967,Canada,IV
BARRAGE TEMISCAMINGUE,0-20000-0-71732,71732,Land (fixed),46.709657,-79.100838,180.4,Canada,IV
BARRHEAD CS,0-20000-0-71061,71061,Land (fixed),54.095269,-114.451272,646.77,Canada,IV
BARRIE-ORO,0-20000-0-71314,71314,Land (fixed),44.48444,-79.546408,288.81,Canada,IV
BAS CARAQUET,0-20000-0-71598,71598,Land (fixed),47.8,-64.83333333,5,Canada,IV
BASSANO AGCM,0-20000-0-71008,71008,Land (fixed),50.8925,-112.465,807,Canada,IV
BATHURST A,0-20000-0-71574,71574,Land (fixed),47.62916667,-65.74833333,58.8,Canada,IV
BATHURST INLET,0-20000-0-71874,71874,Land (fixed),66.83333333,-108,5.18,Canada,IV
BCOV WCDA-PGC,0-124-10010-M007003,M007003,Land (fixed),50.544277,-126.842624,51.78,Canada,IV
BCRK WCDA-PGC,0-124-10010-M108000,M108000,Land (fixed),62.41428,-140.860395,705.91,Canada,IV
BEATRICE CLIMATE,0-20000-0-71694,71694,Land (fixed),45.13333333,-79.38333333,283.13,Canada,IV
BEAUCEVILLE,0-20000-0-71323,71323,Land (fixed),46.204894,-70.785097,228.79,Canada,IV
BEAUPORT,0-20000-0-71578,71578,Land (fixed),46.83333333,-71.18333333,9.06,Canada,IV
BEAVER ISLAND (AUT),0-20000-0-71403,71403,Land (fixed),44.81666667,-62.33333333,6,Canada,IV
BEAVER MINES,0-20000-0-71304,71304,Land (fixed),49.4679,-114.175,1257,Canada,IV
BEAVERLODGE RCS,0-20000-0-71230,71230,Land (fixed),55.18333333,-119.3833333,745,Canada,IV
BEDFORD BASIN,0-124-12001-71329,71329,Land (fixed),44.70611,-63.6333,3,Canada,IV
BEDFORD RANGE,0-124-12001-71325,71325,Land (fixed),44.74556,-63.6603,8,Canada,IV
BEISEKER AGCM,0-20000-0-71009,71009,Land (fixed),51.37861111,-113.3572222,896,Canada,IV
BELLA BELLA,0-20000-0-71582,71582,Land (fixed),52.185,-128.1566667,43,Canada,IV
BELLA COOLA AIRPORT,0-124-0-71533,71533,Land (fixed),52.38851,-126.587,36.4,Canada,IV
BELLA COOLA-WCDA-PGC,0-124-10010-987012,987012,Land (fixed),52.38826,-126.589235,37.02,Canada,IV
BELLEVILLE QUINTE,0-124-0-73042,73042,Land (fixed),44.15936,-77.4398,94.04,Canada,IV
BELLSHILL AGCM,0-20000-0-71010,71010,Land (fixed),52.58222222,-111.4652778,721,Canada,IV
BERENS RIVER CS,0-20000-0-71158,71158,Land (fixed),52.3597,-97.022,221.9,Canada,IV
BERNARD HARBOUR,0-124-12001-73231,73231,Land (fixed),68.75528,-114.94,62,Canada,IV
BERRY HILL,0-20000-0-71588,71588,Land (fixed),49.619944,-57.9197778,116,Canada,IV
BIG TROUT LAKE A,0-20000-0-71675,71675,Land (fixed),53.81777778,-89.89694444,222.5,Canada,IV
BIG TROUT LAKE READAC,0-20000-0-71844,71844,Land (fixed),53.81555556,-89.89555556,222.2,Canada,IV
BIG TROUT LAKE,0-20000-0-71208,71208,Land (fixed),53.8,-89.88333333,222.5,Canada,IV
BIG VALLEY AGCM,0-20000-0-71011,71011,Land (fixed),51.99777778,-112.8025,870,Canada,IV
BLACK DIAMOND,0-20000-0-71982,71982,Land (fixed),50.70666667,-114.1516667,1156,Canada,IV
BLACKCOMB BASE SLIDING CENTER,0-20000-0-71756,71756,Land (fixed),50.1025,-122.9364,937,Canada,IV
BLOOD TRIBE AGDM,0-20000-0-71517,71517,Land (fixed),49.56666667,-113.05,980,Canada,IV
BLUE RIVER CS,0-20000-0-71883,71883,Land (fixed),52.11666667,-119.2833333,678.63,Canada,IV
BNAB WCDA-PGC,0-124-10010-M147001,M147001,Land (fixed),53.493254,-130.636982,18.35,Canada,IV
BNKB WCDA-PGC,0-124-10010-M147003,M147003,Land (fixed),53.331485,-129.900884,422.55,Canada,IV
BODO AGDM,0-20000-0-71214,71214,Land (fixed),52.12416667,-110.1013889,687,Canada,IV
BONAVISTA,0-20000-0-71178,71178,Land (fixed),48.66666667,-53.1,25.6,Canada,IV
BONILLA ISLAND (AUT),0-20000-0-71484,71484,Land (fixed),53.48333333,-130.6333333,12.52,Canada,IV
BONNARD 1,0-20000-0-71383,71383,Land (fixed),50.71666667,-71,497,Canada,IV
BORDEN AWOS,0-20000-0-71534,71534,Land (fixed),44.26666667,-79.9,222.2,Canada,IV
BOW ISLAND IRRIGATION AGDM,0-20000-0-71519,71519,Land (fixed),49.86666667,-111.3833333,799,Canada,IV
BOW ISLAND,0-20000-0-71231,71231,Land (fixed),49.73333333,-111.45,816.6,Canada,IV
BOW VALLEY,0-20000-0-71232,71232,Land (fixed),51.0831,-115.066,1320,Canada,IV
BRANDON A,0-20000-0-71140,71140,Land (fixed),49.91,-99.95194444,409.4,Canada,IV
BRANDON RCS,0-20000-0-71136,71136,Land (fixed),49.903444,-99.945586,406.5,Canada,IV
BRANTFORD AIRPORT,0-124-0-71602,71602,Land (fixed),43.1375,-80.3314,245.31,Canada,IV
BRATT'S LAKE CLIMATE,0-20000-0-71569,71569,Land (fixed),50.2006,-104.71,580,Canada,IV
BRATT'S LAKE UA,0-20001-0-71569,71569,Land (fixed),50.2,-104.7,580,Canada,IV
BRAY ISLAND,0-124-12001-73232,73232,Land (fixed),69.22389,-77.2303,15,Canada,IV
BRETON PLOTS,0-20000-0-71233,71233,Land (fixed),53.08944444,-114.4408333,851.5,Canada,IV
BREVOORT ISLAND,0-20000-0-71097,71097,Land (fixed),63.33972222,-64.14583333,376,Canada,IV
BRIER ISLAND,0-124-0-71988,71988,Land (fixed),44.28566,-66.3424,15.6,Canada,IV
BROADVIEW,0-20000-0-71861,71861,Land (fixed),50.3681,-102.5708,599.8,Canada,IV
BROCKET AGDM,0-20000-0-71341,71341,Land (fixed),49.61666667,-113.8166667,1072.73,Canada,IV
BROCKVILLE CLIMATE,0-20000-0-71161,71161,Land (fixed),44.63333333,-75.75,121.04,Canada,IV
BROOKS,0-20000-0-71457,71457,Land (fixed),50.55,-111.8333333,748.57,Canada,IV
BROWNVALE AGCM,0-20000-0-71283,71283,Land (fixed),56.11777778,-117.8863889,748,Canada,IV
BUCTOUCHE CDA CS,0-20000-0-71666,71666,Land (fixed),46.41666667,-64.76666667,43,Canada,IV
BUFFALO NARROWS (AUT),0-20000-0-71077,71077,Land (fixed),55.83333333,-108.4166667,440.1,Canada,IV
BULLHORN COULEE RESERVOIR,0-20000-0-71839,71839,Land (fixed),49.29527778,-113.3586111,1115,Canada,IV
BULLHORN HEADWATERS,0-20000-0-71016,71016,Land (fixed),49.1525,-113.5505556,1326,Canada,IV
BURGEO NL,0-20000-0-71152,71152,Land (fixed),47.6,-57.6,6.7,Canada,IV
BURLINGTON PIERS (AUT),0-20000-0-71437,71437,Land (fixed),43.3,-79.8,77,Canada,IV
BURNS LAKE DECKER LAKE,0-20000-0-71952,71952,Land (fixed),54.3832,-125.9587,713.2,Canada,IV
BURWASH A,0-20000-0-71001,71001,Land (fixed),61.37055556,-139.04,805.3,Canada,IV
BURWASH AIRPORT AUTO,0-124-0-71195,71195,Land (fixed),61.37013,-139.032,798.67,Canada,IV
BUSBY AGCM,0-20000-0-71284,71284,Land (fixed),53.93083333,-113.9216667,714,Canada,IV
BUTB WCDA-PGC,0-124-10010-M147005,M147005,Land (fixed),53.063004,-128.463733,1097.7,Canada,IV
Baker Lake,0-20008-0-BLK,BLK,Land (fixed),64.331665,-96.010433,49,Canada,IV
Baker Lake Magnetic Observatory,0-124-10001-BLC,BLC,Land (fixed),64.318,-96.012,30,Canada,IV
Barkerville,0-124-15003-1A03P,1A03P,Land (fixed),53.05683,-121.491,1480,Canada,IV
Bay D Espoir-B,0-20008-0-BEB,BEB,Land (fixed),47.98833466,-55.81888962,190,Canada,IV
Bay D'Espoir,0-20008-0-BAB,BAB,Land (fixed),47.99166489,-55.81694031,190,Canada,IV
Behchoko,0-20008-0-BCK,BCK,Land (fixed),62.797934,-115.918255,184,Canada,IV
Bessborough 237 Road,0-124-15003-450,450,Land (fixed),55.791944,-120.483611,665,Canada,IV
Birch Bank Golf Course,0-124-15003-97,97,Land (fixed),49.158056,-117.733056,483,Canada,IV
Blackwall Peak,0-124-15003-2G03P,2G03P,Land (fixed),49.0945,-120.771,1940,Canada,IV
Bonaparte AGRI,0-124-15005-AGBP002,AGBP002,Land (fixed),50.74472,-121.279,446,Canada,IV
Bonner Lake,0-20008-0-BON,BON,Land (fixed),49.38333511,-82.1166687,245,Canada,IV
Boss Mountain Mine,0-124-15003-1C20P,1C20P,Land (fixed),52.10683,-120.868,1460,Canada,IV
Boundary Bay AGRI,0-124-15005-AGBB003,AGBB003,Land (fixed),49.0791,-122.986,8,Canada,IV
Bow Hut,0-124-34001-204,204,Land (fixed),51.63518,-116.49028,2421,Canada,IV
Brandon Magnetic Observatory,0-124-10001-BRD,BRD,Land (fixed),49.87,-99.74,380,Canada,IV
Bratt's Lake,0-20008-0-BRA,BRA,Land (fixed),50.201631,-104.711259,580,Canada,IV
Brenda Mines,0-124-15003-2F18P,2F18P,Land (fixed),49.86236,-119.982,1460,Canada,IV
Burns Lake Fire Centre,0-124-15003-104,104,Land (fixed),54.230833,-125.764444,710,Canada,IV
Burns Lake Sheraton East,0-124-15003-439,439,Land (fixed),54.1527,-125.4495,679,Canada,IV
Burnt Bridge Creek,0-124-15003-3C08P,3C08P,Land (fixed),52.481,-126.248,1330,Canada,IV
CADOGAN AGCM,0-20000-0-71012,71012,Land (fixed),52.33416667,-110.51,690,Canada,IV
CAGS RACS-GSD,0-124-10010-962000,962000,Land (fixed),45.585011,-75.807324,268.66,Canada,IV
CALGARY INT'L A,0-20000-0-71877,71877,Land (fixed),51.11388889,-114.0202778,1084.1,Canada,IV
CALGARY INT'L CS,0-20000-0-71393,71393,Land (fixed),51.109444,-114.000277,1082.43,Canada,IV
CALLAGHAN VALLEY,0-20000-0-71688,71688,Land (fixed),50.13333333,-123.1,884,Canada,IV
CAM FOUR,0-20000-0-71918,71918,Land (fixed),68.43694444,-89.72583333,328,Canada,IV
CAMBRIDGE BAY A,0-20000-0-71925,71925,Land (fixed),69.10805556,-105.1383333,31.09,Canada,IV
CAMBRIDGE BAY GSN,0-20000-0-71288,71288,Land (fixed),69.106583,-105.115652,18.69,Canada,IV
CAMBRIDGE BAY UA,0-20001-0-71925,71925,Land (fixed),69.13333333,-105.0666667,25.1,Canada,IV
CAMERON FALLS (AUT),0-20000-0-71291,71291,Land (fixed),49.15,-88.33333333,232.6,Canada,IV
CAMPSIE AUTO,0-20000-0-71636,71636,Land (fixed),54.11666667,-114.6666667,647,Canada,IV
CAMROSE,0-20000-0-71254,71254,Land (fixed),53.03333333,-112.8166667,739,Canada,IV
CAP-CHAT,0-20000-0-71428,71428,Land (fixed),49.1,-66.65,3.28,Canada,IV
CAP-D'ESPOIR,0-20000-0-71429,71429,Land (fixed),48.419388,-64.316944,14.5,Canada,IV
CAP-MADELEINE,0-20000-0-71425,71425,Land (fixed),49.25083333,-65.32472222,29,Canada,IV
CAP-ROUGE,0-20000-0-71186,71186,Land (fixed),48.3742,-70.5353,7.3,Canada,IV
CAP-TOURMENTE,0-20000-0-71384,71384,Land (fixed),47.0786,-70.7808,5.57,Canada,IV
CAPE DORSET A,0-20000-0-71366,71366,Land (fixed),64.23027778,-76.525,48.2,Canada,IV
CAPE DORSET A,0-20000-0-71910,71910,Land (fixed),64.23027778,-76.525,48.2,Canada,IV
CAPE DYER,0-20000-0-71094,71094,Land (fixed),66.65,-61.38333333,725.1,Canada,IV
CAPE HOOPER,0-20000-0-71093,71093,Land (fixed),68.4725,-66.81527778,390.1,Canada,IV
CAPE KAKKIVIAK,0-20000-0-71176,71176,Land (fixed),59.985,-64.165,551.1,Canada,IV
CAPE KIGLAPAIT,0-20000-0-71177,71177,Land (fixed),57.13583333,-61.47555556,834.1,Canada,IV
CAPE LIVERPOOL,0-124-0-76000,76000,Land (fixed),73.66804,-78.2947,1.94,Canada,IV
CAPE MERCY,0-20000-0-71975,71975,Land (fixed),64.95777778,-63.57777778,582.6,Canada,IV
CAPE PARRY A,0-20000-0-71948,71948,Land (fixed),70.16666667,-124.7166667,86.6,Canada,IV
CAPE PEEL WEST,0-20000-0-71064,71064,Land (fixed),69.03583333,-107.8230556,165.3,Canada,IV
CAPE PROVIDENCE,0-124-0-76001,76001,Land (fixed),74.4566,-112.16,4.38,Canada,IV
CAPE RACE (AUT),0-20000-0-71800,71800,Land (fixed),46.65,-53.06666667,26.5,Canada,IV
CAPE ST JAMES CS,0-20000-0-71107,71107,Land (fixed),51.93333333,-131,87.8,Canada,IV
CAPE WHITTLE,0-20000-0-71374,71374,Land (fixed),50.162833,-60.061603,8.52,Canada,IV
CARBERRY CS,0-20000-0-71170,71170,Land (fixed),49.905637,-99.357092,382.94,Canada,IV
CARDSTON,0-20000-0-71153,71153,Land (fixed),49.2,-113.2833333,1136,Canada,IV
CARIBOU ISLAND (AUT),0-20000-0-71433,71433,Land (fixed),47.33943,-85.826017,187,Canada,IV
CARIBOU POINT (AUT),0-20000-0-71415,71415,Land (fixed),45.76422,-62.680444,6,Canada,IV
CARMACKS CS,0-20000-0-71039,71039,Land (fixed),62.115,-136.192,563,Canada,IV
CARMAN U OF M CS,0-20000-0-71147,71147,Land (fixed),49.48333333,-98.01666667,267.04,Canada,IV
CARTWRIGHT A,0-20000-0-71818,71818,Land (fixed),53.70833333,-57.035,14.3,Canada,IV
CARWAY,0-20000-0-71488,71488,Land (fixed),48.98333333,-113.3666667,1354,Canada,IV
CATHEDRAL POINT (AUT),0-20000-0-71482,71482,Land (fixed),52.18333333,-127.4666667,25.7,Canada,IV
CAUSAPSCAL AIRPORT,0-124-0-73005,73005,Land (fixed),48.30879,-67.2528,126.65,Canada,IV
CBRG RACS-GLCOR,0-124-10010-M113000,M113000,Land (fixed),43.956461,-78.16438,79.33,Canada,IV
CDOR RACS,0-124-10010-M149002,M149002,Land (fixed),64.229248,-76.529449,58.55,Canada,IV
CENTRAL DIXON ENTRANCE,0-124-600-4600145,4600145,Sea (fixed),54.366,-132.44389,0,Canada,IV
CFB - BAGOTVILLE,0-20000-0-71727,71727,Land (fixed),48.33333333,-71,159.1,Canada,IV
CFB - COLD LAKE,0-20000-0-71120,71120,Land (fixed),54.41666667,-110.2833333,541,Canada,IV
CFB - COMOX,0-20000-0-71893,71893,Land (fixed),49.71666667,-124.9,25.6,Canada,IV
CFB GREENWOOD,0-20000-0-71397,71397,Land (fixed),44.98333333,-64.91666667,28,Canada,IV
CFB SHEARWATER,0-20000-0-71601,71601,Land (fixed),44.63333333,-63.5,44,Canada,IV
